word,sum_over_NF_dims,rank
attractive,5.384534835645306,5553
subtle,5.2342771611720105,12214
comfortable,5.190671268653314,1694
simplicity,5.0794981908403365,17879
sophisticate,5.0235084518980235,10295
delicate,4.999128859147429,11609
perfectly,4.754437668650003,5653
effortless,4.583853902171459,32597
simple,4.563619638249215,1497
gentle,4.551088526201184,10525
accentuate,4.381770234742632,34854
surprisingly,4.3487164228830055,11582
texture,4.217355797926931,7362
effortlessly,4.139211061886427,30339
sleek,3.98388950058166,15017
predictable,3.825298602960904,24717
soft,3.6356698439533486,2559
silky,3.596671346055971,31486
witty,3.5866645661154783,26657
flawless,3.5101300860429685,22573
easy,3.4065542692877377,520
easily,3.364802898420889,2701
neat,3.2222835821665585,10380
robust,3.1801681720920287,9033
crisp,3.117942373694328,8569
albeit,3.0873602095997805,18397
glossy,3.0816353530196943,18998
efficient,3.0519671613098835,4761
bite,3.0228734693042068,1195
creamy,2.9785467515582162,5486
clever,2.9127835684113617,12011
smooth,2.8981903158002598,4559
subdue,2.8541914602925527,17568
sharp,2.6945144697105885,4636
lightweight,2.653444237004454,13492
straightforward,2.6514496699910257,18937
slick,2.6043620609279,22761
wit,2.586415884179176,7672
quickly,2.545952510388408,2704
seamlessly,2.4770678919772404,29778
soften,2.300641759514078,12074
slightly,2.2863313105447487,4805
thin,2.228500570668204,3567
ensure,2.2091509058042424,1067
ease,2.159792764798319,3142
slight,2.152245787065989,8873
thick,2.0843312635522797,5358
transition,2.0335503742907566,5036
gently,2.0162392783883902,11399
contour,1.9424409601615584,17344
matte,1.8837648000150449,12412
continuous,1.8579583308071443,5816
curve,1.8451930934965084,5489
transparent,1.8301488705623328,7728
lightly,1.8185077457837115,10338
blunt,1.8138422056665604,14326
rough,1.770450929405299,5790
bumpy,1.6597330242391382,36512
glide,1.6459903740367443,19171
cleverly,1.6339897798226808,33813
handy,1.552083032613787,9651
slow,1.477483461976728,1779
squeeze,1.3993281828843225,11041
orderly,1.33841753044362,26123
edge,1.3363780698170515,1725
surface,1.0674374502575597,1850
taper,0.9955971402077596,13954
smoothly,0.6920910106951634,18188
scrape,0.3284208050713876,17422
